batch=421001 checked=14072795889664 peak_steps=595 suspects=0 gpu=75% temp=73C elapsed=3.7
batch=421051 checked=14073634750464 peak_steps=595 suspects=0 gpu=60% temp=73C elapsed=4.0
batch=421101 checked=14074473611264 peak_steps=595 suspects=0 gpu=66% temp=73C elapsed=4.3
batch=421151 checked=14075312472064 peak_steps=595 suspects=0 gpu=74% temp=74C elapsed=4.6
batch=421201 checked=14076151332864 peak_steps=595 suspects=0 gpu=67% temp=74C elapsed=4.9
batch=421251 checked=14076990193664 peak_steps=595 suspects=0 gpu=79% temp=74C elapsed=5.2
batch=421301 checked=14077829054464 peak_steps=595 suspects=0 gpu=61% temp=74C elapsed=5.6
batch=421351 checked=14078667915264 peak_steps=595 suspects=0 gpu=80% temp=73C elapsed=5.9
batch=421401 checked=14079506776064 peak_steps=595 suspects=0 gpu=76% temp=73C elapsed=6.2
batch=421451 checked=14080345636864 peak_steps=595 suspects=0 gpu=58% temp=74C elapsed=6.5
batch=421501 checked=14081184497664 peak_steps=595 suspects=0 gpu=65% temp=74C elapsed=6.8
batch=421551 checked=14082023358464 peak_steps=595 suspects=0 gpu=68% temp=74C elapsed=7.1
batch=421601 checked=14082862219264 peak_steps=595 suspects=0 gpu=73% temp=74C elapsed=7.4
batch=421651 checked=14083701080064 peak_steps=595 suspects=0 gpu=74% temp=75C elapsed=7.8
batch=421701 checked=14084539940864 peak_steps=595 suspects=0 gpu=65% temp=75C elapsed=8.1
batch=421751 checked=14085378801664 peak_steps=595 suspects=0 gpu=74% temp=75C elapsed=8.4
batch=421801 checked=14086217662464 peak_steps=595 suspects=0 gpu=81% temp=75C elapsed=8.7
batch=421851 checked=14087056523264 peak_steps=595 suspects=0 gpu=71% temp=75C elapsed=9.0
batch=421901 checked=14087895384064 peak_steps=595 suspects=0 gpu=76% temp=75C elapsed=9.3
batch=421951 checked=14088734244864 peak_steps=595 suspects=0 gpu=78% temp=75C elapsed=9.6
batch=422001 checked=14089573105664 peak_steps=595 suspects=0 gpu=71% temp=75C elapsed=9.9
batch=422051 checked=14090411966464 peak_steps=595 suspects=0 gpu=68% temp=75C elapsed=10.2
batch=422101 checked=14091250827264 peak_steps=595 suspects=0 gpu=79% temp=75C elapsed=10.5
batch=422151 checked=14092089688064 peak_steps=595 suspects=0 gpu=73% temp=75C elapsed=10.8
